link,tag,tag_type
https://en.wikipedia.org/wiki/Sustainable_agriculture,Farming approach,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,"environmental, economic and social factors",Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Shade-grown coffee,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,polyculture,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,sustainable agriculture,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,natural ecosystems,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Trees,Organism
https://en.wikipedia.org/wiki/Sustainable_agriculture,coffee plants,Organism
https://en.wikipedia.org/wiki/Sustainable_agriculture,shade,Resource
https://en.wikipedia.org/wiki/Sustainable_agriculture,nutrients,Resource
https://en.wikipedia.org/wiki/Sustainable_agriculture,soil structure,Resource
https://en.wikipedia.org/wiki/Sustainable_agriculture,farmers,Agent
https://en.wikipedia.org/wiki/Sustainable_agriculture,coffee,Product
https://en.wikipedia.org/wiki/Sustainable_agriculture,timber,Product
https://en.wikipedia.org/wiki/Sustainable_agriculture,ecosystem services,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,flexible business processes,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,farming practices,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,environmental footprint,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,climate change,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,food systems,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,greenhouse gas emissions,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,water scarcity,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,water pollution,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,land degradation,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,deforestation,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,environment friendly methods,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,crops,Product
https://en.wikipedia.org/wiki/Sustainable_agriculture,livestock,Organism
https://en.wikipedia.org/wiki/Sustainable_agriculture,soil,Resource
https://en.wikipedia.org/wiki/Sustainable_agriculture,biodiversity,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,surrounding resources,Resource
https://en.wikipedia.org/wiki/Sustainable_agriculture,downstream resources,Resource
https://en.wikipedia.org/wiki/Sustainable_agriculture,permaculture,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,agroforestry,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,mixed farming,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,multiple cropping,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,crop rotation,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Land sparing,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,conventional intensive agriculture,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,high yields,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,natural habitats,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,farmland,Resource
https://en.wikipedia.org/wiki/Sustainable_agriculture,sustainable food systems,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,sustainability,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,growing population,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,changing environmental conditions,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,sustainable farming practices,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,dietary shifts,Process
