link,tag,tag_type
https://en.wikipedia.org/wiki/Sustainable_agriculture,Sustainable agriculture,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,farming,Activity
https://en.wikipedia.org/wiki/Sustainable_agriculture,food,Resource
https://en.wikipedia.org/wiki/Sustainable_agriculture,textile needs,Resource
https://en.wikipedia.org/wiki/Sustainable_agriculture,ecosystem services,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,sustainable food systems,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,flexible business processes,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,farming practices,Activity
https://en.wikipedia.org/wiki/Sustainable_agriculture,environmental footprint,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,climate change,Phenomenon
https://en.wikipedia.org/wiki/Sustainable_agriculture,greenhouse gas emissions,Environmental impact
https://en.wikipedia.org/wiki/Sustainable_agriculture,water scarcity,Environmental impact
https://en.wikipedia.org/wiki/Sustainable_agriculture,water pollution,Environmental impact
https://en.wikipedia.org/wiki/Sustainable_agriculture,land degradation,Environmental impact
https://en.wikipedia.org/wiki/Sustainable_agriculture,deforestation,Environmental impact
https://en.wikipedia.org/wiki/Sustainable_agriculture,environment friendly methods,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,crops,Resource
https://en.wikipedia.org/wiki/Sustainable_agriculture,livestock,Resource
https://en.wikipedia.org/wiki/Sustainable_agriculture,soil,Resource
https://en.wikipedia.org/wiki/Sustainable_agriculture,biodiversity,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,permaculture,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,agroforestry,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,mixed farming,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,multiple cropping,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,crop rotation,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,Land sparing,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,conventional intensive agriculture,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,natural habitats,Resource
https://en.wikipedia.org/wiki/Sustainable_agriculture,sustainable diets,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,sustainability standards,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,organic certification,Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,Rainforest Alliance,Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,Fair Trade,Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,UTZ Certified,Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,GlobalGAP,Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,Bird Friendly,Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,Common Code for the Coffee Community (4C),Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,USDA,Organization
https://en.wikipedia.org/wiki/Sustainable_agriculture,1977,Date
https://en.wikipedia.org/wiki/Sustainable_agriculture,indigenous communities,Group
https://en.wikipedia.org/wiki/Sustainable_agriculture,carrying capacity,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,planetary boundaries,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,technology,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,farm productivity,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,sustainability in agriculture,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,long-term economics,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,short-term economics,Concept
